分数,位次区间,同分人数,建议位次
669-750,1-37,37,37
668,38-39,2,39
667,40-40,1,40
666,41-42,2,42
665,43-48,6,48
664,49-53,5,53
663,54-58,5,58
662,59-62,4,62
661,63-68,6,68
660,69-73,5,73
659,74-78,5,78
658,79-85,7,85
657,86-89,4,89
656,90-93,4,93
655,94-99,6,99
654,100-108,9,108
653,109-112,4,112
652,113-121,9,121
651,122-124,3,124
650,125-134,10,134
649,135-142,8,142
648,143-151,9,151
647,152-158,7,158
646,159-167,9,167
645,168-181,14,181
644,182-188,7,188
643,189-202,14,202
642,203-211,9,211
641,212-228,17,228
640,229-241,13,241
639,242-250,9,250
638,251-266,16,266
637,267-277,11,277
636,278-294,17,294
635,295-310,16,310
634,311-324,14,324
633,325-333,9,333
632,334-350,17,350
631,351-371,21,371
630,372-389,18,389
629,390-419,30,419
628,420-441,22,441
627,442-471,30,471
626,472-494,23,494
625,495-520,26,520
624,521-538,18,538
623,539-555,17,555
622,556-576,21,576
621,577-603,27,603
620,604-620,17,620
619,621-657,37,657
618,658-689,32,689
617,690-725,36,725
616,726-754,29,754
615,755-790,36,790
614,791-817,27,817
613,818-854,37,854
612,855-887,33,887
611,888-921,34,921
610,922-952,31,952
609,953-986,34,986
608,987-1018,32,1018
607,1019-1071,53,1071
606,1072-1119,48,1119
605,1120-1172,53,1172
604,1173-1220,48,1220
603,1221-1276,56,1276
602,1277-1318,42,1318
601,1319-1368,50,1368
600,1369-1414,46,1414
599,1415-1456,42,1456
598,1457-1511,55,1511
597,1512-1567,56,1567
596,1568-1606,39,1606
595,1607-1661,55,1661
594,1662-1729,68,1729
593,1730-1773,44,1773
592,1774-1834,61,1834
591,1835-1890,56,1890
590,1891-1942,52,1942
589,1943-1991,49,1991
588,1992-2044,53,2044
587,2045-2103,59,2103
586,2104-2169,66,2169
585,2170-2243,74,2243
584,2244-2304,61,2304
583,2305-2363,59,2363
582,2364-2444,81,2444
581,2445-2509,65,2509
580,2510-2583,74,2583
579,2584-2666,83,2666
578,2667-2727,61,2727
577,2728-2809,82,2809
576,2810-2887,78,2887
575,2888-2969,82,2969
574,2970-3067,98,3067
573,3068-3132,65,3132
572,3133-3213,81,3213
571,3214-3304,91,3304
570,3305-3403,99,3403
569,3404-3487,84,3487
568,3488-3579,92,3579
567,3580-3661,82,3661
566,3662-3767,106,3767
565,3768-3867,100,3867
564,3868-3967,100,3967
563,3968-4059,92,4059
562,4060-4161,102,4161
561,4162-4258,97,4258
560,4259-4385,127,4385
559,4386-4479,94,4479
558,4480-4596,117,4596
557,4597-4702,106,4702
556,4703-4845,143,4845
555,4846-4952,107,4952
554,4953-5069,117,5069
553,5070-5189,120,5189
552,5190-5298,109,5298
551,5299-5411,113,5411
550,5412-5532,121,5532
549,5533-5656,124,5656
548,5657-5797,141,5797
547,5798-5916,119,5916
546,5917-6051,135,6051
545,6052-6186,135,6186
544,6187-6331,145,6331
543,6332-6471,140,6471
542,6472-6596,125,6596
