,学校名,年份,录取最低成绩,录取最高成绩,平均成绩,录取名额,批次
79,北京交通大学,2021,------,------,------,------,-------
947,华北电力大学(保定),2021,------,------,------,------,第一批
948,华北电力大学(保定),2021,------,------,------,------,国家专项计划
1020,湖南大学,2021,------,------,------,------,-------
1603,华北电力大学,2021,------,------,------,------,国家专项计划
2512,福州大学,2021,------,------,------,------,第一批
5712,清华大学,2021,656,------,------,------,-------
3712,北京大学,2021,649,------,------,------,第一批
5713,清华大学,2021,640,------,------,------,国家专项计划
1483,中国人民大学,2021,630,------,------,------,提前批
1484,中国人民大学,2021,630,------,------,------,普通批
6426,南京大学,2021,624,------,------,------,-------
7030,复旦大学,2021,623,635,------,------,国家专项计划
3647,武汉大学,2021,618,624,------,------,第一批
6427,南京大学,2021,616,------,------,------,国家专项计划
3648,武汉大学,2021,609,------,------,------,国家专项计划
3649,武汉大学,2021,609,------,------,------,国家专项计划
4928,厦门大学,2021,607,620,613,16,-------
4929,厦门大学,2021,607,611,609,6,国家专项计划
4351,中山大学,2021,604,------,------,------,-------
7574,四川大学,2021,603,------,------,------,提前批
4057,对外经济贸易大学,2021,598,613,------,------,第一批
7573,四川大学,2021,598,------,------,------,第一批
1934,中央财经大学,2021,594,618,------,------,第一批
1935,中央财经大学,2021,594,602,------,------,国家专项计划
5729,山东大学,2021,594,612,597,26,-------
7575,四川大学,2021,594,------,------,------,国家专项计划
3113,上海大学,2021,589,------,------,------,-------
4930,厦门大学,2021,585,585,585,1,高校专项
1360,华中师范大学,2021,583,598,588,------,提前批
4058,对外经济贸易大学,2021,583,595,------,------,国家专项计划
4695,苏州大学,2021,581,592,586,------,-------
9077,上海外国语大学,2021,581,------,------,4,国家专项计划
4274,中国海洋大学,2021,579,596,583,22,-------
4696,苏州大学,2021,579,591,585,------,国家专项计划
5541,中南财经政法大学,2021,578,601,------,------,本科批
1361,华中师范大学,2021,576,578,577,------,国家专项计划
3317,陕西师范大学,2021,574,------,------,------,国家专项计划
1936,中央财经大学,2021,573,573,------,------,高校专项
5542,中南财经政法大学,2021,572,582,------,------,高校专项
5730,山东大学,2021,571,575,573,2,高校专项
1362,华中师范大学,2021,570,570,570,------,高校专项
1359,华中师范大学,2021,568,573,571,------,第一批
4275,中国海洋大学,2021,567,567,567,1,高校专项
3316,陕西师范大学,2021,566,------,------,------,第一批
4185,兰州大学,2021,566,593,573,168,-------
4186,兰州大学,2021,566,589,569,15,提前批
7576,四川大学,2021,566,------,------,------,高校专项
3974,首都师范大学,2021,565,------,------,------,国家专项计划
949,华北电力大学(保定),2021,563,563,------,------,国家专项计划
1537,湖南师范大学,2021,563,573,------,------,第一批
714,云南大学,2021,562,566,------,19,-------
8334,辽宁大学,2021,562,------,------,------,国家专项计划
5586,中国药科大学,2021,561,566,------,------,-------
923,北京化工大学,2021,560,------,------,------,国家专项计划
4187,兰州大学,2021,560,570,563,4,高校专项
7063,华东理工大学,2021,560,------,------,------,第一批
7897,西安电子科技大学,2021,560,567,563,------,-------
8374,中国农业大学,2021,560,------,------,------,-------
1615,中国地质大学(武汉),2021,559,------,------,------,第一批
2028,长安大学,2021,557,------,------,------,-------
3318,陕西师范大学,2021,557,------,------,------,高校专项
822,北京林业大学,2021,556,------,------,------,国家专项计划
7423,华中农业大学,2021,555,560,------,------,-------
7885,合肥工业大学,2021,554,559,555,------,第一批
8333,辽宁大学,2021,554,------,------,------,-------
821,北京林业大学,2021,553,------,------,------,-------
1077,大连海事大学,2021,553,553,553,------,普通批
922,北京化工大学,2021,552,------,------,------,-------
5900,中央民族大学,2021,552,------,------,------,-------
4659,海南大学,2021,551,562,555,------,第一批
4697,苏州大学,2021,551,551,551,------,高校专项
653,武汉理工大学,2021,550,------,------,------,-------
8960,天津财经大学,2021,547,------,------,------,国家专项计划
626,南京信息工程大学,2021,544,567,------,25,-------
4838,东北农业大学,2021,544,545,544,------,国家专项计划
4248,东北林业大学,2021,542,550,544,------,-------
4837,东北农业大学,2021,541,542,541,------,第一批
5174,华侨大学,2021,541,546,537,------,第一批
5682,南方医科大学,2021,537,562,------,------,第一批
627,南京信息工程大学,2021,536,543,------,9,国家专项计划
8667,长沙理工大学,2021,536,------,------,------,第一批
855,西北师范大学,2021,535,571,544,164,-------
8290,北京电子科技学院,2021,534,551,542,------,-------
1616,中国地质大学(武汉),2021,530,------,------,------,高校专项
4335,武汉科技大学,2021,530,543,------,------,-------
715,云南大学,2021,526,526,------,1,高校专项
8959,天津财经大学,2021,521,------,------,------,-------
1869,浙江工商大学,2021,515,563,548,21,第一批
4660,海南大学,2021,513,521,515,------,第二批
2046,天津科技大学,2021,512,541,------,------,第一批
8043,内蒙古大学,2021,504,504,504,1,第一批
1602,华北电力大学,2021,502,------,------,------,第一批
7463,中国劳动关系学院,2021,501,521,507,------,-------
7051,长沙理工大学城南学院,2021,451,------,------,------,第二批
7464,中国劳动关系学院,2021,391,427,405,------,专科
628,南京信息工程大学,2020,------,565,------,19,-------
1731,湖南工业大学,2020,------,------,------,------,-------
3254,武汉工程大学,2020,------,553,------,------,第一批
3761,杭州师范大学,2020,------,------,------,------,第一批
3854,北京邮电大学世纪学院,2020,------,482,464,------,第二批
4496,成都信息工程大学,2020,------,------,552,------,第一批
4799,吉林大学,2020,------,------,------,------,第一批
5373,南昌大学,2020,------,------,------,------,第一批
5881,河海大学,2020,------,577,------,5,第一批
5968,西南大学(荣昌校区),2020,------,------,------,------,第一批
5969,西南大学(荣昌校区),2020,------,------,------,------,国家专项计划
6467,安徽大学,2020,------,592,581,18,第一批
6503,江西中医药大学,2020,------,554,------,------,第一批
6504,江西中医药大学,2020,------,516,------,------,第二批
7618,上海师范大学,2020,------,------,------,------,第一批
7951,湖南铁路科技职业技术学院,2020,------,------,------,------,-------
8919,西南大学,2020,------,------,------,------,第一批
8920,西南大学,2020,------,------,------,------,提前批
5714,清华大学,2020,674,------,------,------,第一批
3713,北京大学,2020,660,------,------,------,第一批
8936,南京邮电大学,2020,656,674,568,28,第一批
7031,复旦大学,2020,649,655,------,------,第一批
1556,浙江大学,2020,648,------,------,------,-------
1486,中国人民大学,2020,647,------,------,------,提前批
1485,中国人民大学,2020,643,------,------,------,第一批
6428,南京大学,2020,641,------,------,------,第一批
7032,复旦大学,2020,633,641,------,------,国家专项计划
3650,武汉大学,2020,632,641,------,------,第一批
4352,中山大学,2020,630,------,------,------,第一批
4931,厦门大学,2020,628,642,632,------,第一批
7287,北京航空航天大学,2020,627,------,633,------,-------
6429,南京大学,2020,626,------,------,------,国家专项计划
1994,中国政法大学,2020,621,635,------,------,第一批
1937,中央财经大学,2020,620,637,------,------,第一批
4059,对外经济贸易大学,2020,620,------,------,------,第一批
3651,武汉大学,2020,619,------,------,------,国家专项计划
2263,北京外国语大学,2020,617,635,623,------,第一批
4932,厦门大学,2020,617,622,619,------,国家专项计划
9078,上海外国语大学,2020,617,------,------,4,第一批
2298,同济大学,2020,614,------,------,------,第一批
