,学校名,年份,录取最低成绩,录取最高成绩,平均成绩,录取名额,批次
2126,北京工商大学,2021,------,------,------,------,-------
2153,华北电力大学(保定),2021,------,------,------,------,第一批
2154,华北电力大学(保定),2021,------,------,------,------,国家专项计划
3814,北京交通大学,2021,------,------,------,------,-------
3815,北京交通大学,2021,------,------,------,------,国家专项计划
6934,福州大学,2021,------,------,------,------,第一批
6935,福州大学,2021,------,------,------,------,高校专项
7837,湖南大学,2021,------,------,------,------,-------
7838,湖南大学,2021,------,------,------,------,国家专项计划
8287,华北电力大学,2021,------,------,------,------,国家专项计划
8288,华北电力大学,2021,------,------,------,------,高校专项
3665,清华大学,2021,669,------,------,------,-------
10191,北京大学,2021,665,------,------,------,第一批
3666,清华大学,2021,646,------,------,------,国家专项计划
8706,南京大学,2021,637,------,------,------,-------
4376,中国人民大学,2021,631,------,------,------,普通批
6611,复旦大学,2021,627,645,------,------,国家专项计划
8707,南京大学,2021,619,------,------,------,国家专项计划
11051,同济大学,2021,614,------,------,------,第一批
10212,北京理工大学,2021,607,------,------,------,-------
10945,华中科技大学,2021,607,------,------,------,第一批
5266,武汉大学,2021,603,------,------,------,国家专项计划
5267,武汉大学,2021,603,------,------,------,国家专项计划
5265,武汉大学,2021,598,623,------,------,第一批
6183,西北工业大学,2021,595,619,599,------,-------
5537,东南大学,2021,594,------,------,------,-------
7869,厦门大学,2021,594,618,600,41,-------
6833,北京邮电大学,2021,584,------,------,------,国家专项计划
6832,北京邮电大学,2021,583,------,------,------,-------
1509,中央财经大学,2021,581,614,------,------,国家专项计划
2878,四川大学,2021,579,------,------,------,第一批
7578,对外经济贸易大学,2021,579,607,------,------,第一批
2879,四川大学,2021,578,------,------,------,国家专项计划
5018,山东大学,2021,574,601,587,14,国家专项计划
5017,山东大学,2021,571,616,582,99,-------
7579,对外经济贸易大学,2021,571,579,------,------,国家专项计划
4763,中南大学,2021,570,629,583,------,-------
7870,厦门大学,2021,569,611,588,28,国家专项计划
8179,首都医科大学,2021,569,620,------,------,第一批
5241,华中师范大学,2021,565,582,572,------,提前批
7672,兰州大学,2021,562,587,569,37,国家专项计划
2075,中南财经政法大学,2021,561,561,------,------,高校专项
1341,中国农业大学,2021,560,------,------,------,-------
1508,中央财经大学,2021,559,628,------,------,第一批
1510,中央财经大学,2021,556,556,------,------,高校专项
8743,南京理工大学,2021,556,------,------,------,第一批
2074,中南财经政法大学,2021,554,572,------,------,本科批
4202,东北大学,2021,554,------,------,79,第一批
9955,上海外国语大学,2021,553,------,------,6,国家专项计划
4045,中国海洋大学,2021,552,570,558,58,-------
3537,上海大学,2021,551,------,------,------,国家专项计划
2155,华北电力大学(保定),2021,550,573,------,------,国家专项计划
1132,华东理工大学,2021,547,------,------,------,国家专项计划
3536,上海大学,2021,547,------,------,------,-------
4046,中国海洋大学,2021,547,563,553,25,国家专项计划
9532,苏州大学,2021,546,590,557,------,-------
5019,山东大学,2021,544,568,553,4,高校专项
7673,兰州大学,2021,544,558,551,4,高校专项
1131,华东理工大学,2021,542,------,------,------,第一批
10459,陕西师范大学,2021,542,------,------,------,国家专项计划
4203,东北大学,2021,541,------,------,48,国家专项计划
5242,华中师范大学,2021,541,574,551,------,国家专项计划
7670,兰州大学,2021,541,595,554,608,-------
9534,苏州大学,2021,541,549,545,------,高校专项
612,大连理工大学,2021,539,------,------,------,第一批
6759,武汉理工大学,2021,537,------,------,------,-------
7839,湖南大学,2021,537,------,------,------,高校专项
10859,北京化工大学,2021,537,------,------,------,国家专项计划
2880,四川大学,2021,536,------,------,------,高校专项
10458,陕西师范大学,2021,536,------,------,------,第一批
5379,哈尔滨工程大学,2021,535,553,542,------,-------
4334,江南大学,2021,534,------,------,------,第一批
4722,合肥工业大学,2021,532,557,538,------,第一批
9533,苏州大学,2021,532,570,550,------,国家专项计划
10460,陕西师范大学,2021,532,------,------,------,高校专项
5380,哈尔滨工程大学,2021,531,555,541,------,国家专项计划
8989,大连理工大学盘锦校区,2021,530,------,------,------,第一批
4723,合肥工业大学,2021,529,555,540,------,国家专项计划
6760,武汉理工大学,2021,529,------,------,------,国家专项计划
1939,北京林业大学,2021,528,------,------,------,国家专项计划
10858,北京化工大学,2021,527,------,------,------,-------
7134,中国药科大学,2021,526,526,------,------,高校专项
7671,兰州大学,2021,526,541,532,8,提前批
1267,首都师范大学,2021,525,------,------,------,国家专项计划
4047,中国海洋大学,2021,523,523,523,1,高校专项
4745,南京信息工程大学,2021,523,551,------,79,-------
5958,湖南师范大学,2021,523,544,------,------,第一批
7133,中国药科大学,2021,523,580,------,------,国家专项计划
8649,北京电子科技学院,2021,523,589,541,------,-------
1477,云南大学,2021,522,533,------,41,-------
2453,长安大学,2021,522,------,------,------,-------
9616,大连海事大学,2021,522,548,527,------,普通批
10679,辽宁大学,2021,522,------,------,------,国家专项计划
268,中国矿业大学(北京),2021,521,------,------,------,国家专项计划
2648,西安电子科技大学,2021,521,550,530,------,-------
4204,东北大学,2021,521,------,------,3,高校专项
9617,大连海事大学,2021,521,530,524,------,国家专项计划
1426,中山大学,2021,520,------,------,------,-------
1649,太原理工大学,2021,520,538,------,41,第一批
6373,中国地质大学(武汉),2021,520,------,------,------,国家专项计划
1938,北京林业大学,2021,518,------,------,------,-------
7626,中央民族大学,2021,517,------,------,------,国家专项计划
5381,哈尔滨工程大学,2021,516,524,520,------,高校专项
6372,中国地质大学(武汉),2021,516,------,------,------,第一批
6761,武汉理工大学,2021,516,------,------,------,高校专项
10678,辽宁大学,2021,516,------,------,------,-------
267,中国矿业大学(北京),2021,515,------,------,------,-------
3087,广西大学,2021,515,523,519,------,-------
3538,上海大学,2021,515,------,------,------,高校专项
4183,华中农业大学,2021,515,560,------,------,-------
4746,南京信息工程大学,2021,515,523,------,16,国家专项计划
7625,中央民族大学,2021,514,------,------,------,-------
183,浙江工业大学,2021,510,527,515,------,第一批
1428,中山大学,2021,510,------,------,------,高校专项
7132,中国药科大学,2021,510,575,------,------,-------
7085,天津财经大学,2021,507,------,------,------,国家专项计划
4145,武汉科技大学,2021,506,523,------,------,-------
7084,天津财经大学,2021,506,------,------,------,-------
7309,燕山大学,2021,506,------,------,------,第一批
4883,天津科技大学,2021,505,509,------,------,国家专项计划
5819,长沙理工大学,2021,504,------,------,------,第一批
5243,华中师范大学,2021,503,503,503,------,高校专项
6374,中国地质大学(武汉),2021,501,------,------,------,高校专项
5623,南方医科大学,2021,500,602,------,------,第一批
7871,厦门大学,2021,499,533,516,2,高校专项
315,东北林业大学,2021,497,518,502,------,-------
9618,大连海事大学,2021,497,519,508,------,高校专项
1478,云南大学,2021,493,493,------,1,高校专项
6126,东北农业大学,2021,493,510,496,------,第一批
6127,东北农业大学,2021,493,497,494,------,国家专项计划
8137,青海大学,2021,493,515,502,------,普通批
1427,中山大学,2021,489,------,------,------,国家专项计划
316,东北林业大学,2021,486,519,499,------,国家专项计划
1037,内蒙古大学,2021,486,500,491,13,第一批
4995,海南大学,2021,485,551,509,------,第一批
2212,华侨大学,2021,480,508,465,------,第一批
3326,西北师范大学,2021,480,549,496,356,-------
5048,浙江工商大学,2021,480,515,504,18,贫困专项
4882,天津科技大学,2021,476,507,------,------,第一批
5047,浙江工商大学,2021,464,528,489,61,第一批
9615,大连海事大学,2021,458,513,477,------,提前批
269,中国矿业大学(北京),2021,457,------,------,------,高校专项
3477,山东中医药大学,2021,451,------,------,6,-------
317,东北林业大学,2021,446,480,462,------,高校专项
4996,海南大学,2021,445,535,452,------,第二批
8286,华北电力大学,2021,440,------,------,------,第一批
434,中国劳动关系学院,2021,431,471,444,------,-------
3556,长沙理工大学城南学院,2021,364,------,------,------,第二批
435,中国劳动关系学院,2021,235,329,286,------,专科
184,浙江工业大学,2020,------,------,------,------,第一批
203,河海大学,2020,------,586,------,80,第一批
485,西南大学(荣昌校区),2020,------,------,------,------,第一批
486,西南大学(荣昌校区),2020,------,------,------,------,国家专项计划
770,湖南铁路科技职业技术学院,2020,------,------,------,------,-------
1152,江西中医药大学,2020,------,515,------,------,第一批
1153,江西中医药大学,2020,------,458,------,------,第二批
1869,南昌大学,2020,------,------,------,------,第一批
2283,杭州师范大学,2020,------,------,------,------,第一批
4413,成都信息工程大学,2020,------,------,524,------,第一批
4747,南京信息工程大学,2020,------,572,------,98,-------
4748,南京信息工程大学,2020,------,552,------,25,国家专项计划
5492,四川农业大学,2020,------,------,------,------,第一批
6056,上海师范大学,2020,------,------,------,------,第一批
6342,湖南工业大学,2020,------,------,------,------,-------
6511,安徽大学,2020,------,553,546,32,第一批
6850,成都医学院,2020,------,------,------,------,普通本科
7251,武汉工程大学,2020,------,523,------,------,第一批
7346,集美大学,2020,------,------,------,------,第一批
7347,集美大学,2020,------,------,------,------,第二批
7348,集美大学,2020,------,------,------,------,提前批
10138,北京邮电大学世纪学院,2020,------,394,394,------,第二批
10353,吉林大学,2020,------,------,------,------,第一批
10843,西南大学,2020,------,------,------,------,第一批
10844,西南大学,2020,------,------,------,------,提前批
3667,清华大学,2020,679,------,------,------,第一批
10192,北京大学,2020,679,------,------,------,第一批
6612,复旦大学,2020,672,677,------,------,第一批
4377,中国人民大学,2020,652,------,------,------,第一批
8708,南京大学,2020,652,------,------,------,第一批
6439,浙江大学,2020,647,------,------,------,-------
6613,复旦大学,2020,647,660,------,------,国家专项计划
6870,北京航空航天大学,2020,646,------,651,------,-------
8709,南京大学,2020,633,------,------,------,国家专项计划
11052,同济大学,2020,632,------,------,------,第一批
6871,北京航空航天大学,2020,628,------,632,------,国家专项计划
10946,华中科技大学,2020,625,------,------,------,第一批
1429,中山大学,2020,624,------,------,------,第一批
5268,武汉大学,2020,620,644,------,------,第一批
5538,东南大学,2020,616,633,------,------,第一批
